Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,PerthAirport,18.8,37.2,0,11.6,13.1,E,56,E,ENE,30,15,48,22,1011,1007.9,0,0,22.2,35,No,0,No
2009-01-02,PerthAirport,21.9,36.1,0,12.8,13.2,E,59,NE,W,11,20,39,31,1008.7,1007.9,0,1,27.5,33.9,No,0,No
2009-01-03,PerthAirport,20.3,34.4,0,11.8,12.7,SSW,44,S,W,17,24,57,34,1012.8,1010.7,4,1,23.5,33,No,0,No
2009-01-04,PerthAirport,18.5,36.5,0,11.2,13.3,SE,39,E,E,11,13,48,20,1017.1,1013.1,0,0,22.5,34.9,No,0,No
2009-01-05,PerthAirport,21.8,37.2,0,11.4,13.2,E,57,E,W,19,22,38,21,1014.7,1010.8,0,0,25.3,36.4,No,0,No
2009-01-06,PerthAirport,19.7,36.4,0,12,13.2,WSW,43,ESE,W,15,26,54,35,1014.5,1009.7,0,0,24.6,33.9,No,0,No
2009-01-07,PerthAirport,18.9,36.3,0,12,13.2,E,52,SE,SSE,15,17,50,23,1014.7,1011.1,1,1,23.1,34.3,No,0,No
2009-01-08,PerthAirport,20.3,37.2,0,10.8,13.2,ESE,41,ESE,SSE,15,13,48,24,1014.7,1011.4,0,0,24.2,36.3,No,0,No
2009-01-09,PerthAirport,19.1,37.1,0,12.6,13.3,SW,46,SSE,W,13,26,50,32,1015.7,1011.4,0,1,24.4,34.6,No,0,No
2009-01-10,PerthAirport,20.5,35.7,0,11.2,13.1,SW,48,ESE,SW,13,33,43,26,1013.1,1010.5,1,0,26,33.3,No,0,No
2009-01-11,PerthAirport,21.2,39.1,0,12,13.1,SW,41,ENE,WSW,20,20,41,15,1009.6,1005.4,0,0,25.6,38,No,0,No
2009-01-12,PerthAirport,13.5,28.4,0,11.4,11.3,SW,57,SW,WSW,24,35,54,52,1007.7,1009,1,6,23.8,26.6,No,0,No
2009-01-13,PerthAirport,10.3,26.9,0,9.4,11.2,SW,48,NNE,W,2,28,60,37,1017.8,1014.9,6,1,18.1,25,No,0,No
2009-01-14,PerthAirport,14.6,31.7,0,9.6,10.2,W,37,ESE,WSW,17,22,49,35,1017.5,1014.6,4,6,21.4,30,No,0,No
2009-01-15,PerthAirport,19,39.8,0,10.6,13.1,E,72,ENE,ESE,35,20,45,16,1016.4,1012,0,0,22.7,37.2,No,0,No
2009-01-16,PerthAirport,22.5,43,0,13.8,13.1,NE,50,NE,WNW,31,20,12,18,1011.1,1010.1,0,1,34,37.3,No,0,No
2009-01-17,PerthAirport,17.9,32.6,0,13.2,7.2,W,41,SW,SW,9,17,57,31,1015.5,1013.9,2,7,22.1,31.6,No,0,No
2009-01-18,PerthAirport,21.9,33.5,0,8.6,4.8,SSE,46,SSE,SSE,15,11,47,31,1015.2,1012,7,7,23.9,31,No,12.6,Yes
2009-01-19,PerthAirport,15.7,30,12.6,8,13.2,E,72,SSE,SSE,17,20,68,39,1016.8,1013.9,1,1,19.5,28,Yes,0,No
2009-01-20,PerthAirport,15.5,30.1,0,8,13,SW,48,E,SW,24,28,51,35,1018.6,1015,0,1,18.7,28.7,No,0,No
2009-01-21,PerthAirport,15.4,27.3,0,10,13,SSW,43,SSW,SW,17,30,63,42,1016.1,1013.5,1,4,20.1,26.6,No,0,No
2009-01-22,PerthAirport,18.7,28.7,0,8.6,11.1,WSW,43,S,WSW,15,24,67,48,1013.6,1011.6,7,1,21.5,28.2,No,0,No
2009-01-23,PerthAirport,20,28.9,0,9,10.7,SW,39,S,SW,20,24,71,50,1013.9,1011.7,7,1,21.8,27.8,No,0,No
2009-01-24,PerthAirport,13.1,31,0,7.6,13,SW,39,W,W,7,26,62,46,1013.8,1011.4,0,0,21.4,28.8,No,0,No
2009-01-25,PerthAirport,17,38.6,0,9.6,13.2,WSW,39,ESE,W,13,15,28,18,1012.4,1008,0,0,25.3,38,No,0,No
2009-01-26,PerthAirport,17.5,30.8,0,10,13,W,37,NW,W,6,24,74,54,1007.8,1008.3,1,1,23.6,27.1,No,0,No
2009-01-27,PerthAirport,17.1,34.5,0,8.8,12.6,SSW,48,SE,SSW,9,20,61,34,1008.2,1004.2,2,6,23.3,33.8,No,0,No
2009-01-28,PerthAirport,21.7,31.2,0,10.4,6.5,WSW,43,SE,SW,11,19,71,51,1003.9,1001.2,7,4,23.3,30,No,0,No
2009-01-29,PerthAirport,19.7,25.6,0,7.2,0.3,SSW,33,S,SSW,19,22,72,58,1008.1,1007.9,7,8,21,24.4,No,0,No
2009-01-30,PerthAirport,18.9,32.1,0,4,6.4,WSW,30,SE,S,13,9,69,51,1010.7,1007,8,7,21.7,29,No,0,No
2009-01-31,PerthAirport,21.6,35.1,0,5.6,NA,NA,NA,E,SE,22,17,62,44,1008.8,1006.3,3,5,26.6,33.4,No,0.4,No
2009-02-01,PerthAirport,23.3,37.4,0.4,6.4,13.1,SSW,39,E,W,19,22,67,40,1011.7,1008.8,0,1,27.5,35.9,No,0,No
2009-02-02,PerthAirport,21,39.1,0,10.6,13.1,WSW,39,ENE,WSW,19,28,55,36,1010.6,1008.4,1,1,29.7,36.4,No,0,No
2009-02-03,PerthAirport,18.6,32.7,0,10.2,11.9,SW,33,SW,W,9,22,76,47,1010.5,1008.4,1,1,23.9,31.3,No,0,No
2009-02-04,PerthAirport,20.4,33.3,0,8,13,SW,48,SSE,SSW,22,24,62,29,1012.7,1010.1,1,1,22.6,32.6,No,0,No
2009-02-05,PerthAirport,17.3,33.2,0,11.2,12.9,ESE,50,ESE,WSW,13,30,51,36,1011.6,1007,0,0,20.9,30.3,No,0,No
2009-02-06,PerthAirport,15.2,27,0,10.6,12.3,SW,56,S,SW,26,35,60,36,1009.6,1006.5,4,2,18.4,25.1,No,0,No
2009-02-07,PerthAirport,9.4,27.3,0,9,12.7,WSW,46,SSE,WSW,13,19,53,29,1014.2,1012.6,2,0,19.5,26.8,No,0,No
2009-02-08,PerthAirport,15.4,32.9,0,9.4,13,E,57,E,E,28,26,45,22,1017.8,1015,0,0,18.6,30.8,No,0,No
2009-02-09,PerthAirport,17.6,34.6,0,12.8,12.9,E,69,ENE,E,39,30,48,16,1017.6,1014.8,0,0,20.8,33.7,No,0,No
2009-02-10,PerthAirport,19.7,36.8,0,12.6,11.4,E,65,ENE,ENE,37,28,44,14,1016.3,1012.9,0,3,23.1,35.2,No,0,No
2009-02-11,PerthAirport,23,39.2,0,10.4,12.8,NE,41,NE,ENE,26,9,20,11,1012.6,1009.3,1,1,28.8,37.9,No,0,No
2009-02-12,PerthAirport,22.3,39.5,0,11.2,9.4,WSW,54,NE,WSW,24,26,16,17,1007.3,1007.5,6,6,31.4,34.3,No,0,No
2009-02-13,PerthAirport,21.7,28.1,0,11.8,4.3,SE,52,SE,ESE,20,26,60,46,1013.8,1012.1,6,5,22.8,27.3,No,0.2,No
2009-02-14,PerthAirport,18.8,29.1,0.2,7.4,1.3,E,65,ESE,SE,28,11,44,39,1009,1007,7,7,23.4,27,No,0,No
2009-02-15,PerthAirport,15.9,32.4,0,3.6,12,WSW,33,NA,WSW,NA,24,77,38,1008.3,1006.2,1,0,21.8,30.7,No,0,No
2009-02-16,PerthAirport,18.2,27.5,0,6.8,11.4,SSW,41,SSW,WSW,26,28,72,40,1011.4,1010.2,7,1,21.7,26.6,No,0,No
2009-02-17,PerthAirport,16,31.9,0,9,12.5,SE,44,SE,SSE,17,17,56,30,1013.3,1009.9,1,1,20.1,30.4,No,0,No
2009-02-18,PerthAirport,17.4,32,0,8,12.5,E,57,ESE,SSE,26,24,58,27,1013.8,1010.2,1,0,19.5,29.6,No,0,No
2009-02-19,PerthAirport,16.7,33.8,0,11.6,12.4,E,61,E,SSE,26,15,50,23,1014,1011.4,0,1,19.6,32.3,No,0,No
2009-02-20,PerthAirport,18.4,36.4,0,11,12.3,E,61,ENE,ENE,35,19,52,20,1015,1013,0,1,21,35.1,No,0,No
2009-02-21,PerthAirport,21,39.9,0,14.2,11,E,54,ENE,W,26,19,25,15,1012.1,1008.1,3,7,28,37.8,No,0,No
2009-02-22,PerthAirport,20,31.7,0,11.8,10.9,WSW,41,SSW,WSW,26,26,56,40,1012.5,1010.4,5,1,21.8,30.4,No,0,No
2009-02-23,PerthAirport,17.2,34.3,0,7.4,11.8,E,57,ENE,N,31,7,54,28,1013.5,1009.3,6,6,19.4,32.5,No,0,No
2009-02-24,PerthAirport,18.4,25.4,0,7.2,5.7,SW,39,WSW,WSW,15,28,73,59,1006.8,1007.3,7,7,22.4,23.3,No,0,No
2009-02-25,PerthAirport,12.9,23.5,0,6,4.2,WSW,43,NNE,W,17,24,72,90,1007.2,1006.8,7,8,18.3,17.9,No,4.8,Yes
2009-02-26,PerthAirport,8.3,23.9,4.8,3.8,11.3,SSW,37,NNE,SSW,7,22,72,43,1016.7,1016.1,6,7,15.9,22.2,Yes,0,No
2009-02-27,PerthAirport,13.7,30.2,0,6.4,12,ENE,41,ENE,WSW,20,26,61,33,1016,1012.3,1,1,17.8,28.8,No,0,No
2009-02-28,PerthAirport,15.4,36.1,0,6.6,9.2,NA,NA,E,E,24,20,49,22,1009.6,1006,6,3,22.3,35.7,No,1.6,Yes
2009-03-01,PerthAirport,22.4,32.9,1.6,8.2,9.7,NE,50,NNE,W,11,19,60,48,1006.2,1002.5,4,6,25.9,31.3,Yes,0,No
2009-03-02,PerthAirport,18.4,24.7,0,7.4,9.5,SW,59,SSW,SW,35,37,65,40,1009.2,1010.7,7,3,18.4,23.2,No,0,No
2009-03-03,PerthAirport,6.1,26.2,0,10.4,11.2,ESE,43,SSE,ESE,15,20,51,21,1025.8,1023.2,0,0,14.8,24.4,No,0,No
2009-03-04,PerthAirport,13.6,30.4,0,6.6,11.7,ESE,52,ENE,E,28,28,46,19,1027.4,1022.8,0,1,17.3,28.8,No,0,No
2009-03-05,PerthAirport,17,34.3,0,10,11.7,NE,39,ENE,N,24,6,47,14,1024.2,1020,0,0,20.1,33.1,No,0,No
2009-03-06,PerthAirport,15.2,34.5,0,8,11.6,E,72,ENE,W,13,24,34,22,1019.6,1016.6,1,0,23.1,32.4,No,0,No
2009-03-07,PerthAirport,17.1,31.6,0,11.6,11.5,E,78,ENE,ESE,37,19,58,26,1020.3,1017.2,1,0,19.1,30.1,No,0,No
2009-03-08,PerthAirport,17.2,35,0,8,11.7,ENE,44,ENE,SW,22,13,42,15,1016.8,1013.8,6,4,21.4,33.8,No,0,No
2009-03-09,PerthAirport,15,35.3,0,10,11.6,WSW,37,ENE,W,19,22,31,12,1016.1,1014,1,1,24.3,33.9,No,0,No
2009-03-10,PerthAirport,14.9,38.3,0,9,11.8,WSW,37,ENE,W,15,26,31,12,1013.7,1011.3,1,1,25.2,36.4,No,0,No
2009-03-11,PerthAirport,12.7,30.8,0,8.8,4.9,S,39,W,S,11,13,45,27,1012.7,1011.7,2,7,20.3,30.1,No,0,No
2009-03-12,PerthAirport,18.6,27.1,0,5.4,5.3,SSW,37,SE,WSW,11,17,66,46,1014.5,1013,7,7,20.4,27,No,0,No
2009-03-13,PerthAirport,14.2,28.3,0,7,11,SE,39,S,SSW,19,15,53,27,1019.9,1017.9,0,0,17.9,27.2,No,0,No
2009-03-14,PerthAirport,13.9,31.1,0,8.2,10.9,E,57,ENE,E,26,24,47,24,1021.5,1016.8,1,3,16.6,29.6,No,0,No
2009-03-15,PerthAirport,16.5,39.7,0,12.2,7.1,E,61,ENE,NE,30,13,33,14,1014.2,1010.7,7,6,22,37.3,No,0,No
2009-03-16,PerthAirport,15.9,32.2,0,5.4,10.8,WNW,33,NNE,W,11,19,46,39,1012.4,1011.3,0,1,23.1,30.5,No,0,No
2009-03-17,PerthAirport,16.2,25.6,0,7.4,2.9,W,48,NNE,W,9,24,79,63,1013.8,1013.1,7,8,19.5,22.3,No,0.6,No
2009-03-18,PerthAirport,12.6,24.2,0.6,4,9.8,SW,41,SW,W,13,19,71,40,1017.3,1016.2,6,1,18.3,22.7,No,0,No
2009-03-19,PerthAirport,8.5,25.9,0,6.2,11.5,W,35,SW,W,9,26,58,37,1016.8,1012.2,1,3,16.8,24.9,No,0,No
2009-03-20,PerthAirport,11.8,24.8,0,8.4,5.8,SW,43,W,W,11,24,57,44,1011.4,1010.7,7,6,20.4,23.2,No,2,Yes
2009-03-21,PerthAirport,10.9,24,2,3.2,10.1,WSW,33,NE,WSW,9,17,73,35,1016.9,1015.7,4,2,16.2,23.2,Yes,0,No
2009-03-22,PerthAirport,6.4,24.1,0,6.2,10.4,WSW,39,NA,WSW,0,22,71,37,1016.4,1013.9,1,1,14.3,23.7,No,0,No
2009-03-23,PerthAirport,11.9,24.2,0,4.4,8,WSW,35,NNE,WSW,11,20,68,64,1014.4,1013.5,2,7,17.6,22.7,No,1.8,Yes
2009-03-24,PerthAirport,12,25,1.8,2.8,10,W,31,NNE,WSW,9,15,85,41,1017.1,1016,5,2,16.8,23.7,Yes,0,No
2009-03-25,PerthAirport,12.4,26,0,4.8,10.6,W,37,NE,W,4,26,86,44,1019.7,1018.3,3,7,17.8,24.9,No,0,No
2009-03-26,PerthAirport,14.6,32.5,0,7.2,10.7,E,57,E,S,24,9,59,26,1021.5,1018.7,3,1,19.1,32,No,0,No
2009-03-27,PerthAirport,14.2,37.5,0,6.8,10.7,NNW,35,NA,WSW,0,20,59,21,1018,1014.6,0,0,22.2,34,No,0,No
2009-03-28,PerthAirport,16,29.4,0,6,10.8,SW,44,S,SW,22,20,75,36,1019.9,1016.6,1,1,18.2,28.7,No,0,No
2009-03-29,PerthAirport,17.2,26,0,7.6,8.4,ESE,52,ESE,E,22,28,52,35,1021.6,1017.6,5,5,19.4,25.7,No,0,No
2009-03-30,PerthAirport,17.4,26.1,0,6.2,8.9,SW,46,ESE,WSW,19,26,66,47,1016.1,1012.1,7,1,19.5,25.4,No,0,No
